Launch year,Built 0,Built 1,Built 2,Built All,Flown 0,Flown 1,Flown 2,Flown All,Retired 0,Retired 1,Retired 2,Retired All,Mass 0,Mass 1,Mass 2,Mass All,CMass 0,CMass 1,CMass 2,CMass All,Pass 0,Pass 1,Pass 2,Pass All,Pop 0,Pop 1,Pop 2,Pop All,Pop growth ratio,Mass/Pass 0,Mass/Pass 1,Mass/Pass 2,Mass/Pass All
2022.6033,1,0,0,1,1,0,0,1,1,0,0,1,300,0,0,300,300,0,0,300,0,0,0,0,0,0,0,0,0.,0,0.,0.,0.
2024.7387,0,2,0,2,0,2,0,2,0,2,0,2,0,200,0,200,300,200,0,500,0,0,0,0,0,0,0,0,0.,0,0.,0.,0.
2026.8741,0,2,0,2,0,2,0,2,0,2,0,2,0,400,0,400,300,600,0,900,0,10,0,10,0,10,0,10,0.,0,40.,0.,40.
2029.0095,0,6,0,6,0,6,0,6,0,0,0,0,0,1200,0,1200,300,1800,0,2100,0,54,0,54,0,64,0,64,6.4,0,22.22222222222222,0.,22.22222222222222
2031.1449,0,10,0,10,0,16,0,16,0,6,0,6,0,4200,0,4200,300,6000,0,6300,0,506,0,506,0,570,0,570,8.90625,0,8.300395256916996,0.,8.300395256916996
2033.2803,0,14,1,15,0,24,1,25,0,0,1,1,0,7620,800,8420,300,13620,800,14720,0,2333,0,2333,0,2903,0,2903,5.0929824561403505,0,3.609087012430347,0.,3.609087012430347
2035.4156,0,16,2,18,0,40,2,42,0,0,2,2,0,13060,1800,14860,300,26680,2600,29580,0,6962,960,7922,0,9865,960,10825,3.728901136755081,0,1.875897730537202,1.875,1.8757889421863165
2037.551,0,19,5,24,0,59,5,64,0,10,0,10,0,19520,4500,24020,300,46200,7100,53600,0,17138,3951,21089,0,27003,4911,31914,2.948175519630485,0,1.1389893803244253,1.1389521640091116,1.1389824078903694
2039.6864,0,19,9,28,0,68,14,82,0,0,5,5,0,22980,13500,36480,300,69180,20600,90080,0,28409,16689,45098,0,55412,21600,77012,2.4131102337532115,0,0.8088985884754831,0.8089160524896638,0.8089050512217837
2041.8218,0,20,16,36,0,88,25,113,0,0,0,0,0,29780,26600,56380,300,98960,47200,146460,0,45632,40760,86392,0,101044,62360,163404,2.1217992001246557,0,0.6526122019635343,0.6526005888125613,0.6526067228447079
2043.9572,0,21,21,42,0,109,46,155,0,0,0,0,0,36920,50540,87460,300,135880,97740,233920,0,64183,87860,152043,0,165227,150220,315447,1.930472938238966,0,0.575230201143605,0.5752333257455042,0.5752320067349368
2046.0926,0,22,24,46,0,131,70,201,0,0,0,0,0,44400,77900,122300,300,180280,175640,356220,0,82604,144928,227532,0,247831,295148,542979,1.7213002501212564,0,0.53750423708295,0.537508279973504,0.5375068122286096
2048.228,0,21,27,48,0,152,97,249,0,14,0,14,0,51540,108680,160220,300,231820,284320,516440,0,99249,209282,308531,0,347080,504430,851510,1.5682190287285511,0,0.5192999425686908,0.5192993186227196,0.5192995193351722
2050.3633,0,23,29,52,0,161,126,287,0,0,9,9,0,54740,141740,196480,300,286560,426060,712920,0,107275,277769,385044,0,454355,782199,1236554,1.4521896395814495,0,0.5102773246329527,0.5102801248519453,0.5102793446982683
2052.4987,0,22,31,53,0,183,148,331,0,0,0,0,0,62220,168080,230300,300,348780,594140,943220,0,123045,332392,455437,0,577400,1114591,1691991,1.3683114526336901,0,0.505668657808119,0.5056680064502154,0.5056681824269877
2054.6341,0,23,32,55,0,206,180,386,0,0,0,0,0,70040,204560,274600,300,418820,798700,1217820,0,139195,406534,545729,0,716595,1521125,2237720,1.3225365855964955,0,0.5031789934983297,0.5031805457846085,0.5031801498545981
2056.7695,0,23,33,56,0,229,213,442,0,0,0,0,0,77860,242180,320040,300,496680,1040880,1537860,0,155166,482638,637804,0,871761,2003763,2875524,1.2850240423287989,0,0.5017851848987536,0.5017839457315835,0.5017842471981988
2058.9049,0,24,35,59,0,253,248,501,0,0,0,0,0,86020,282080,368100,300,582700,1322960,1905960,0,171697,563037,734734,0,1043458,2566800,3610258,1.2555130821373774,0,0.5009988526299236,0.5009972701616412,0.5009976399622176
2061.0403,0,24,36,60,0,277,284,561,0,0,0,0,0,94180,323120,417300,300,676880,1646080,2323260,0,188152,645525,833677,0,1231610,3212325,4443935,1.2309189537146652,0,0.5005527445894808,0.5005538127880408,0.500553571707028
2063.1756,0,24,37,61,0,301,321,622,0,0,0,0,0,102340,365300,467640,300,779220,2011380,2790900,0,204556,730156,934712,0,1436166,3942481,5378647,1.2103343095702346,0,0.500303095484855,0.5003040446151233,0.5003038369037736
2065.311,0,24,37,61,0,325,358,683,0,0,16,16,0,110500,407480,517980,300,889720,2418860,3308880,0,220927,814693,1035620,0,1657093,4757174,6414267,1.192542845812339,0,0.500165212943642,0.5001638654069692,0.5001641528746065
2067.4464,0,24,38,62,0,349,380,729,0,16,0,16,0,118660,433200,551860,300,1008380,2852060,3860740,0,237278,866247,1103525,0,1894371,5623421,7517792,1.1720422614150612,0,0.5000885037803757,0.500088311994154,0.5000883532316893
